id,level,name,description,desc_add1,desc_add2
20002,12077,"a,Stats...................(http://www.la2base.ru)...(x1)...(v.1.2)...\0","a,ID . 12077          Level . 15\\nExp . 0          SP . 0\\n\\nHP . 195          HP Regeneration . 3,95\\nMP . 164          MP Regeneration . 1,21\\n\\nP.Atk . 9          P.Def . 19\\nM.Atk . 3          M.Def . 17\\nP.Atk Speed . 282          M.Atk Speed . 333\\nAtk Range . 40\\n\\nSTR . 40          INT . 21\\nCON . 43          WIT . 20\\nDEX . 30          MEN . 25\\n\\nAggro . false          Social . false\\nWalk Speed . 26          Run Speed . 137\\nSex . male\\n\0","a,none\0","a,none\0"
20002,12311,"a,Stats...................(http://www.la2base.ru)...(x1)...(v.1.2)...\0","a,ID . 12311          Level . 35\\nExp . 0          SP . 0\\n\\nHP . 610          HP Regeneration . 7,11\\nMP . 433          MP Regeneration . 1,84\\n\\nP.Atk . 48          P.Def . 42\\nM.Atk . 22          M.Def . 39\\nP.Atk Speed . 282          M.Atk Speed . 333\\nAtk Range . 40\\n\\nSTR . 40          INT . 21\\nCON . 43          WIT . 20\\nDEX . 30          MEN . 25\\n\\nAggro . false          Social . false\\nWalk Speed . 88          Run Speed . 154\\nSex . male\\n\0","a,none\0","a,none\0"
20002,12312,"a,Stats...................(http://www.la2base.ru)...(x1)...(v.1.2)...\0","a,ID . 12312          Level . 35\\nExp . 0          SP . 0\\n\\nHP . 610          HP Regeneration . 7,11\\nMP . 433          MP Regeneration . 1,84\\n\\nP.Atk . 48          P.Def . 42\\nM.Atk . 22          M.Def . 39\\nP.Atk Speed . 282          M.Atk Speed . 333\\nAtk Range . 40\\n\\nSTR . 40          INT . 21\\nCON . 43          WIT . 20\\nDEX . 30          MEN . 25\\n\\nAggro . false          Social . false\\nWalk Speed . 88          Run Speed . 154\\nSex . male\\n\0","a,none\0","a,none\0"
20002,12313,"a,Stats...................(http://www.la2base.ru)...(x1)...(v.1.2)...\0","a,ID . 12313          Level . 35\\nExp . 0          SP . 0\\n\\nHP . 610          HP Regeneration . 7,11\\nMP . 433          MP Regeneration . 1,84\\n\\nP.Atk . 48          P.Def . 42\\nM.Atk . 22          M.Def . 39\\nP.Atk Speed . 282          M.Atk Speed . 333\\nAtk Range . 40\\n\\nSTR . 40          INT . 21\\nCON . 43          WIT . 20\\nDEX . 30          MEN . 25\\n\\nAggro . false          Social . false\\nWalk Speed . 88          Run Speed . 154\\nSex . male\\n\0","a,none\0","a,none\0"
20002,12526,"a,Stats...................(http://www.la2base.ru)...(x1)...(v.1.2)...\0","a,ID . 12526          Level . 55\\nExp . 0          SP . 0\\n\\nHP . 2728          HP Regeneration . 10,27\\nMP . 1138          MP Regeneration . 2,45\\n\\nP.Atk . 703          P.Def . 332\\nM.Atk . 360          M.Def . 301\\nP.Atk Speed . 282          M.Atk Speed . 333\\nAtk Range . 40\\n\\nSTR . 40          INT . 21\\nCON . 43          WIT . 20\\nDEX . 30          MEN . 25\\n\\nAggro . false          Social . false\\nWalk Speed . 88          Run Speed . 187\\nSex . male\\n\0","a,none\0","a,none\0"
20002,12527,"a,Stats...................(http://www.la2base.ru)...(x1)...(v.1.2)...\0","a,ID . 12527          Level . 55\\nExp . 0          SP . 0\\n\\nHP . 2728          HP Regeneration . 10,27\\nMP . 1138          MP Regeneration . 2,45\\n\\nP.Atk . 703          P.Def . 332\\nM.Atk . 360          M.Def . 301\\nP.Atk Speed . 282          M.Atk Speed . 333\\nAtk Range . 40\\n\\nSTR . 40          INT . 21\\nCON . 43          WIT . 20\\nDEX . 30          MEN . 25\\n\\nAggro . false          Social . false\\nWalk Speed . 88          Run Speed . 187\\nSex . male\\n\0","a,none\0","a,none\0"
20002,12528,"a,Stats...................(http://www.la2base.ru)...(x1)...(v.1.2)...\0","a,ID . 12528          Level . 55\\nExp . 0          SP . 0\\n\\nHP . 2728          HP Regeneration . 10,27\\nMP . 1138          MP Regeneration . 2,45\\n\\nP.Atk . 703          P.Def . 332\\nM.Atk . 360          M.Def . 301\\nP.Atk Speed . 282          M.Atk Speed . 333\\nAtk Range . 40\\n\\nSTR . 40          INT . 21\\nCON . 43          WIT . 20\\nDEX . 30          MEN . 25\\n\\nAggro . false          Social . false\\nWalk Speed . 88          Run Speed . 187\\nSex . male\\n\0","a,none\0","a,none\0"
20002,12564,"a,Stats...................(http://www.la2base.ru)...(x1)...(v.1.2)...\0","a,ID . 12564          Level . 15\\nExp . 0          SP . 0\\n\\nHP . 195          HP Regeneration . 1,15\\nMP . 164          MP Regeneration . 1,21\\n\\nP.Atk . 9          P.Def . 19\\nM.Atk . 3          M.Def . 17\\nP.Atk Speed . 282          M.Atk Speed . 333\\nAtk Range . 40\\n\\nSTR . 40          INT . 21\\nCON . 1          WIT . 20\\nDEX . 30          MEN . 25\\n\\nAggro . false          Social . false\\nWalk Speed . 66          Run Speed . 137\\nSex . male\\n\0","a,none\0","a,none\0"
20002,12621,"a,Stats...................(http://www.la2base.ru)...(x1)...(v.1.2)...\0","a,ID . 12621          Level . 70\\nExp . 0          SP . 0\\n\\nHP . 3862          HP Regeneration . 11,85\\nMP . 1722          MP Regeneration . 2,78\\n\\nP.Atk . 1335          P.Def . 470\\nM.Atk . 780          M.Def . 440\\nP.Atk Speed . 282          M.Atk Speed . 333\\nAtk Range . 40\\n\\nSTR . 40          INT . 21\\nCON . 43          WIT . 20\\nDEX . 30          MEN . 25\\n\\nAggro . false          Social . false\\nWalk Speed . 88          Run Speed . 187\\nSex . male\\n\0","a,none\0","a,none\0"
20002,12774,"a,Stats...................(http://www.la2base.ru)...(x1)...(v.1.2)...\0","a,ID . 12774          Level . 1\\nExp . 0          SP . 0\\n\\nHP . 158          HP Regeneration . 1,42\\nMP . 0          MP Regeneration . 0\\n\\nP.Atk . 4          P.Def . 41\\nM.Atk . 3          M.Def . 33\\nP.Atk Speed . 278          M.Atk Speed . 333\\nAtk Range . 40\\n\\nSTR . 40          INT . 21\\nCON . 43          WIT . 20\\nDEX . 30          MEN . 10\\n\\nAggro . false          Social . false\\nWalk Speed . 33          Run Speed . 88\\nSex . etc\\n\0","a,none\0","a,none\0"
